Query,Genus/Species,Nucleotide_acc,Protein_acc,start,end,dir,PfamID1,Description
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_069166310.1,7934,8768,+,PF05175,Methyltransferase small domain
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_069166278.1,9603,8772,-,PF00106,short chain dehydrogenase
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_069166279.1,11205,9633,-,PF00171,Aldehyde dehydrogenase family
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_069166280.1,11459,12134,+,PF00440,"Bacterial regulatory proteins, tetR family"
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_069166281.1,13670,12176,-,PF00743,Flavin-binding monooxygenase-like
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_069166282.1,14230,15280,+,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_069166283.1,15288,16188,+,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_069166284.1,16184,17864,+,PF00501,AMP-binding enzyme
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_069166311.1,17860,18142,+,,
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_069166285.1,18105,19185,+,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_069166286.1,19210,20410,+,,
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_069166287.1,20406,22521,+,PF03176,MMPL family
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_069166288.1,22708,22912,+,,
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_069166312.1,23976,22941,-,PF07992,Pyridine nucleotide-disulphide oxidoreductase
WP_069166284.1,Nocardia altamirensis NBRC 108246,NZ_BDAY01000082.1,WP_069166289.1,24261,25005,+,PF01909,Nucleotidyltransferase domain
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_067780960.1,50820,51336,+,PF01625,Peptide methionine sulfoxide reductase
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_067780963.1,51498,52140,+,PF13460,NAD(P)H-binding
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_067780966.1,52767,52377,-,,
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_067780969.1,53747,52871,-,PF00582,Universal stress protein family
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_067780971.1,55986,53859,-,PF03176,MMPL family
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_067780974.1,57269,56075,-,,
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_067780977.1,58335,57291,-,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_007537028.1,58397,58646,+,,
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_067780980.1,60322,58642,-,PF00501,AMP-binding enzyme
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_067780982.1,61233,60318,-,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_067780985.1,62292,61242,-,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_067780988.1,62791,64282,+,PF13450,NAD(P)-binding Rossmann-like domain
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_067780991.1,65032,64375,-,PF00440,"Bacterial regulatory proteins, tetR family"
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_067780994.1,65773,65083,-,PF00440,"Bacterial regulatory proteins, tetR family"
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_067780997.1,65922,67494,+,PF00171,Aldehyde dehydrogenase family
WP_067780980.1,Nocardia amikacinitolerans NBRC 108937,NZ_BDAU01000007.1,WP_067781000.1,67592,68423,+,PF00106,short chain dehydrogenase
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_097244646.1,1601775,1602576,+,PF05175,Methyltransferase small domain
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_097244303.1,1603632,1602801,-,PF00106,short chain dehydrogenase
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_097244304.1,1605302,1603730,-,PF00171,Aldehyde dehydrogenase family
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_097244305.1,1605451,1606141,+,PF00440,"Bacterial regulatory proteins, tetR family"
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_097244306.1,1606192,1606849,+,PF00440,"Bacterial regulatory proteins, tetR family"
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_097244307.1,1608448,1606957,-,PF13450,NAD(P)-binding Rossmann-like domain
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_097244308.1,1608947,1609997,+,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_067780982.1,1610006,1610921,+,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_097244309.1,1610917,1612597,+,PF00501,AMP-binding enzyme
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_007537028.1,1612593,1612842,+,,
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_097244310.1,1612904,1613948,+,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_097244311.1,1613970,1615164,+,,
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_097244312.1,1615254,1617381,+,PF03176,MMPL family
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_097244313.1,1617493,1618369,+,PF00582,Universal stress protein family
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_067780966.1,1618473,1618863,+,,
WP_097244309.1,Nocardia amikacinitolerans,NZ_OBEG01000001.1,WP_097244314.1,1618771,1619044,+,,
WP_068065561.1,Nocardia xishanensis NBRC 101358,NZ_BDCF01000048.1,WP_014350243.1,11,293,+,,
WP_068065561.1,Nocardia xishanensis NBRC 101358,NZ_BDCF01000048.1,WP_013474745.1,941,1321,+,,
WP_068065561.1,Nocardia xishanensis NBRC 101358,NZ_BDCF01000048.1,WP_068065539.1,2400,1512,-,PF00582,Universal stress protein family
WP_068065561.1,Nocardia xishanensis NBRC 101358,NZ_BDCF01000048.1,WP_068065545.1,4690,2551,-,PF03176,MMPL family
WP_068065561.1,Nocardia xishanensis NBRC 101358,NZ_BDCF01000048.1,WP_068065548.1,5981,4787,-,,
WP_068065561.1,Nocardia xishanensis NBRC 101358,NZ_BDCF01000048.1,WP_068065554.1,7044,6000,-,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family
WP_068065561.1,Nocardia xishanensis NBRC 101358,NZ_BDCF01000048.1,WP_068065557.1,7367,7040,-,,
WP_068065561.1,Nocardia xishanensis NBRC 101358,NZ_BDCF01000048.1,WP_068065561.1,9043,7363,-,PF00501,AMP-binding enzyme
WP_068065561.1,Nocardia xishanensis NBRC 101358,NZ_BDCF01000048.1,WP_068065564.1,9954,9039,-,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_068065561.1,Nocardia xishanensis NBRC 101358,NZ_BDCF01000048.1,WP_068065566.1,11014,9964,-,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_068065561.1,Nocardia xishanensis NBRC 101358,NZ_BDCF01000048.1,WP_068065571.1,11689,13189,+,PF13450,NAD(P)-binding Rossmann-like domain
WP_068065561.1,Nocardia xishanensis NBRC 101358,NZ_BDCF01000048.1,WP_068065575.1,13952,13292,-,PF00440,"Bacterial regulatory proteins, tetR family"
WP_068065561.1,Nocardia xishanensis NBRC 101358,NZ_BDCF01000048.1,WP_068065579.1,14707,14005,-,PF00440,"Bacterial regulatory proteins, tetR family"
WP_068065561.1,Nocardia xishanensis NBRC 101358,NZ_BDCF01000048.1,WP_068065583.1,14852,16427,+,PF00171,Aldehyde dehydrogenase family
WP_068065561.1,Nocardia xishanensis NBRC 101358,NZ_BDCF01000048.1,WP_068065587.1,16453,17284,+,PF00106,short chain dehydrogenase
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847157.1,8988,8157,-,PF00106,short chain dehydrogenase
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847159.1,10668,9093,-,PF00171,Aldehyde dehydrogenase family
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847161.1,10817,11513,+,PF00440,"Bacterial regulatory proteins, tetR family"
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847164.1,11565,12225,+,PF00440,"Bacterial regulatory proteins, tetR family"
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847165.1,12820,12343,-,PF10604,Polyketide cyclase / dehydrase and lipid transport
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847167.1,14616,13122,-,PF13450,NAD(P)-binding Rossmann-like domain
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847169.1,15162,16212,+,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847170.1,16221,17136,+,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847171.1,17132,18812,+,PF00501,AMP-binding enzyme
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847172.1,18808,19135,+,,
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847173.1,19131,20175,+,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847175.1,20195,21392,+,,
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847178.1,21489,23616,+,PF03176,MMPL family
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847186.1,23768,24656,+,PF00582,Universal stress protein family
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847188.1,24789,25179,+,,
WP_067847171.1,Nocardia lijiangensis NBRC 108240,NZ_BDBP01000110.1,WP_067847189.1,25353,25659,+,,
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_063821682.1,5740,4273,-,PF13738,Pyridine nucleotide-disulphide oxidoreductase
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_040779814.1,6871,5800,-,PF00111,2Fe-2S iron-sulfur cluster binding domain
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_051022659.1,7743,6867,-,PF10118,Predicted metal-dependent hydrolase
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_040779816.1,7847,8510,+,PF00440,"Bacterial regulatory proteins, tetR family"
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_040779817.1,8669,9032,+,PF07883,Cupin domain
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_040779818.1,10619,9125,-,PF00743,Flavin-binding monooxygenase-like
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_040779819.1,11204,12254,+,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_040779820.1,12262,13177,+,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_040779821.1,13173,14847,+,PF00501,AMP-binding enzyme
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_040779823.1,14850,15132,+,,
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_051022662.1,15128,16172,+,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_040779825.1,16197,17397,+,,
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_040779826.1,17393,19511,+,PF03176,MMPL family
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_083889461.1,23408,19907,-,PF00270,DEAD/DEAH box helicase
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_083889463.1,24162,23400,-,PF08878,Domain of unknown function (DUF1837)
WP_040779821.1,Nocardia pneumoniae NBRC 100136,NZ_BAGF01000049.1,WP_051022664.1,25749,24879,-,,
WP_051016434.1,Nocardia cyriacigeorgica NBRC 100375,NZ_BAFY01000119.1,WP_036536578.1,12343,14236,+,PF13604,AAA domain
WP_051016434.1,Nocardia cyriacigeorgica NBRC 100375,NZ_BAFY01000119.1,WP_036536580.1,14365,15571,+,PF07992,Pyridine nucleotide-disulphide oxidoreductase
WP_051016434.1,Nocardia cyriacigeorgica NBRC 100375,NZ_BAFY01000119.1,WP_036536582.1,15567,16482,+,PF04542,Sigma-70 region 2
WP_051016434.1,Nocardia cyriacigeorgica NBRC 100375,NZ_BAFY01000119.1,WP_051016432.1,16927,17158,+,,
WP_051016434.1,Nocardia cyriacigeorgica NBRC 100375,NZ_BAFY01000119.1,WP_014350592.1,17135,19255,+,,
WP_051016434.1,Nocardia cyriacigeorgica NBRC 100375,NZ_BAFY01000119.1,WP_036536584.1,20448,19251,-,,
WP_051016434.1,Nocardia cyriacigeorgica NBRC 100375,NZ_BAFY01000119.1,WP_036536604.1,21571,20482,-,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family
WP_051016434.1,Nocardia cyriacigeorgica NBRC 100375,NZ_BAFY01000119.1,WP_081597283.1,21798,21525,-,,
WP_051016434.1,Nocardia cyriacigeorgica NBRC 100375,NZ_BAFY01000119.1,WP_051016434.1,23492,21809,-,PF00501,AMP-binding enzyme
WP_051016434.1,Nocardia cyriacigeorgica NBRC 100375,NZ_BAFY01000119.1,WP_036536608.1,24412,23488,-,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_051016434.1,Nocardia cyriacigeorgica NBRC 100375,NZ_BAFY01000119.1,WP_036536588.1,25464,24414,-,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_051016434.1,Nocardia cyriacigeorgica NBRC 100375,NZ_BAFY01000119.1,WP_036536591.1,26513,25832,-,PF00440,"Bacterial regulatory proteins, tetR family"
WP_051016434.1,Nocardia cyriacigeorgica NBRC 100375,NZ_BAFY01000119.1,WP_036536593.1,26643,28212,+,PF00171,Aldehyde dehydrogenase family
WP_051016434.1,Nocardia cyriacigeorgica NBRC 100375,NZ_BAFY01000119.1,WP_014350602.1,28250,29077,+,,
WP_051016434.1,Nocardia cyriacigeorgica NBRC 100375,NZ_BAFY01000119.1,WP_081597280.1,29936,29102,-,PF05175,Methyltransferase small domain
WP_067479402.1,Nocardia amamiensis NBRC 102102,NZ_BDBA01000253.1,WP_067479392.1,235,919,+,PF00440,"Bacterial regulatory proteins, tetR family"
WP_067479402.1,Nocardia amamiensis NBRC 102102,NZ_BDBA01000253.1,WP_067479412.1,1837,931,-,PF00106,short chain dehydrogenase
WP_067479402.1,Nocardia amamiensis NBRC 102102,NZ_BDBA01000253.1,WP_067479394.1,2013,2676,+,PF00440,"Bacterial regulatory proteins, tetR family"
WP_067479402.1,Nocardia amamiensis NBRC 102102,NZ_BDBA01000253.1,WP_067479396.1,4286,2792,-,PF00743,Flavin-binding monooxygenase-like
WP_067479402.1,Nocardia amamiensis NBRC 102102,NZ_BDBA01000253.1,WP_067479398.1,4870,5920,+,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_067479402.1,Nocardia amamiensis NBRC 102102,NZ_BDBA01000253.1,WP_067479400.1,5928,6843,+,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
WP_067479402.1,Nocardia amamiensis NBRC 102102,NZ_BDBA01000253.1,WP_067479402.1,6839,8513,+,PF00501,AMP-binding enzyme
WP_067479402.1,Nocardia amamiensis NBRC 102102,NZ_BDBA01000253.1,WP_067479404.1,8516,8798,+,,
WP_067479402.1,Nocardia amamiensis NBRC 102102,NZ_BDBA01000253.1,WP_067479406.1,8794,9841,+,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family
WP_067479402.1,Nocardia amamiensis NBRC 102102,NZ_BDBA01000253.1,WP_067479408.1,9867,11067,+,,
