query accession,genus/species,nucleotide acc,protein acc,fxn,dir,min,max,PfamID1,description,E-value1,PfamID2,description,E-value2,PfamID3,description,E-value3,custom hmm,custom hmm E-value,custom hmm2,custom hmm2 E-value
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570067.1,,fwd,71227,72276,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,1.80E-11,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,5.00E-10,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570069.1,,fwd,72278,73189,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,3.60E-05,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,4.10E-05,PF08392,FAE1_CUT1_RppA  FAE1/Type III polyketide synthase-like protein,0.085,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084515010.1,,fwd,73234,75153,PF00501,AMP-binding  AMP-binding enzyme,1.20E-61,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570140.1,,fwd,75159,75434,NO PFAM MATCH,,,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570071.1,D,fwd,75434,76492,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,3.30E-38,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,6.00E-29,PF13460,NAD_binding_10  NAD(P)H-binding,3.70E-18,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570073.1,,fwd,76521,77708,NO PFAM MATCH,,,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570142.1,MMPL,fwd,77749,79884,PF03176,MMPL  MMPL family,7.60E-66,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570075.1,,rev,79910,80770,PF00590,TP_methylase  Tetrapyrrole (Corrin/Porphyrin) Methylases,1.20E-25,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084515012.1,,fwd,81201,82754,PF16192,PMT_4TMC  C-terminal four TMM region of protein-O-mannosyltransferase,9.20E-21,PF02366,PMT  Dolichyl-phosphate-mannose-protein mannosyltransferase,1.70E-14,PF13231,PMT_2  Dolichyl-phosphate-mannose-protein mannosyltransferase,1.70E-07,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570077.1,,rev,82821,83189,PF00392,GntR  Bacterial regulatory proteins  gntR family,2.10E-15,PF14502,HTH_41  Helix-turn-helix domain,8.50E-06,PF13412,HTH_24  Winged helix-turn-helix DNA-binding,3.90E-05,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570079.1,,rev,83197,84426,PF02274,Amidinotransf  Amidinotransferase,5.20E-89,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570081.1,,fwd,84502,85017,PF09278,MerR-DNA-bind  MerR  DNA binding,5.60E-19,PF00376,MerR  MerR family regulatory protein,2.10E-15,PF13411,MerR_1  MerR HTH family regulatory protein,3.80E-15,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084514990.1,,rev,84992,85936,PF00106,adh_short  short chain dehydrogenase,2.00E-52,PF13561,adh_short_C2  Enoyl-(Acyl carrier protein) reductase,1.70E-42,PF08659,KR  KR domain,4.60E-14,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084514988.1,,fwd,62373,63008,PF10738,Lpp-LpqN  Probable lipoprotein LpqN,8.60E-35,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570055.1,,rev,63044,63925,PF00398,RrnaAD  Ribosomal RNA adenine dimethylase,7.10E-39,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570057.1,,rev,64110,65273,PF03583,LIP  Secretory lipase,7.80E-10,PF12146,Hydrolase_4  Serine aminopeptidase  S33,3.50E-05,PF12697,Abhydrolase_6  Alpha/beta hydrolase family,4.00E-05,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570059.1,,fwd,65424,66191,PF13561,adh_short_C2  Enoyl-(Acyl carrier protein) reductase,1.50E-55,PF00106,adh_short  short chain dehydrogenase,1.60E-52,PF08659,KR  KR domain,1.70E-13,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570138.1,,rev,66280,67407,PF06737,Transglycosylas  Transglycosylase-like domain,6.00E-34,PF03990,DUF348  Domain of unknown function (DUF348),5.60E-23,PF07501,G5  G5 domain,5.20E-15,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570061.1,,rev,67471,68298,PF01026,TatD_DNase  TatD related DNase,1.70E-68,PF01261,AP_endonuc_2  Xylose isomerase-like TIM barrel,0.00019,PF04909,Amidohydro_2  Amidohydrolase,0.00024,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570063.1,,fwd,68365,69924,PF09334,tRNA-synt_1g  tRNA synthetases class I (M),9.40E-111,PF00133,tRNA-synt_1  tRNA synthetases class I (I  L  M and V),2.90E-31,PF01406,tRNA-synt_1e  tRNA synthetases class I (C) catalytic domain,2.20E-11,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570065.1,,rev,70000,70929,PF08450,SGL  SMP-30/Gluconolaconase/LRE-like region,4.70E-12,PF03088,Str_synth  Strictosidine synthase,1.40E-05,PF01436,NHL  NHL repeat,0.0099,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570067.1,,fwd,71227,72276,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,1.80E-11,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,5.00E-10,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570069.1,,fwd,72278,73189,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,3.60E-05,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,4.10E-05,PF08392,FAE1_CUT1_RppA  FAE1/Type III polyketide synthase-like protein,0.085,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084515010.1,,fwd,73234,75153,PF00501,AMP-binding  AMP-binding enzyme,1.20E-61,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570140.1,,fwd,75159,75434,NO PFAM MATCH,,,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570071.1,D,fwd,75434,76492,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,3.30E-38,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,6.00E-29,PF13460,NAD_binding_10  NAD(P)H-binding,3.70E-18,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570073.1,,fwd,76521,77708,NO PFAM MATCH,,,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570142.1,MMPL,fwd,77749,79884,PF03176,MMPL  MMPL family,7.60E-66,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570075.1,,rev,79910,80770,PF00590,TP_methylase  Tetrapyrrole (Corrin/Porphyrin) Methylases,1.20E-25,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084515012.1,,fwd,81201,82754,PF16192,PMT_4TMC  C-terminal four TMM region of protein-O-mannosyltransferase,9.20E-21,PF02366,PMT  Dolichyl-phosphate-mannose-protein mannosyltransferase,1.70E-14,PF13231,PMT_2  Dolichyl-phosphate-mannose-protein mannosyltransferase,1.70E-07,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570077.1,,rev,82821,83189,PF00392,GntR  Bacterial regulatory proteins  gntR family,2.10E-15,PF14502,HTH_41  Helix-turn-helix domain,8.50E-06,PF13412,HTH_24  Winged helix-turn-helix DNA-binding,3.90E-05,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570079.1,,rev,83197,84426,PF02274,Amidinotransf  Amidinotransferase,5.20E-89,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570081.1,,fwd,84502,85017,PF09278,MerR-DNA-bind  MerR  DNA binding,5.60E-19,PF00376,MerR  MerR family regulatory protein,2.10E-15,PF13411,MerR_1  MerR HTH family regulatory protein,3.80E-15,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084514990.1,,rev,84992,85936,PF00106,adh_short  short chain dehydrogenase,2.00E-52,PF13561,adh_short_C2  Enoyl-(Acyl carrier protein) reductase,1.70E-42,PF08659,KR  KR domain,4.60E-14,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963254.1,,fwd,379313,379738,PF02391,MoaE  MoaE protein,3.90E-34,,,,,,,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963255.1,,rev,379748,380206,PF01047,MarR  MarR family,1.00E-16,PF12802,MarR_2  MarR family,1.80E-12,PF13412,HTH_24  Winged helix-turn-helix DNA-binding,1.20E-08,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963256.1,,fwd,380294,381205,PF00296,Bac_luciferase  Luciferase-like monooxygenase,3.30E-42,,,,,,,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963257.1,,rev,381193,382266,PF02492,cobW  CobW/HypB/UreG  nucleotide-binding domain,9.70E-44,PF07683,CobW_C  Cobalamin synthesis protein cobW C-terminal domain,6.00E-17,PF00009,GTP_EFTU  Elongation factor Tu GTP binding domain,0.00013,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963258.1,,rev,382343,383746,PF01520,Amidase_3  N-acetylmuramoyl-L-alanine amidase,2.10E-32,PF10428,SOG2  RAM signalling pathway protein,4.5,,,,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963259.1,,fwd,384472,384876,NO PFAM MATCH,,,,,,,,,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084491415.1,,fwd,385379,386485,PF10509,GalKase_gal_bdg  Galactokinase galactose-binding signature,7.50E-16,PF08544,GHMP_kinases_C  GHMP kinases C terminal,7.30E-13,PF00288,GHMP_kinases_N  GHMP kinases N terminal domain,3.50E-11,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963261.1,,fwd,386519,387268,PF00106,adh_short  short chain dehydrogenase,6.00E-38,PF13561,adh_short_C2  Enoyl-(Acyl carrier protein) reductase,6.30E-29,PF08659,KR  KR domain,2.90E-15,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963262.1,,fwd,387597,388646,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,3.40E-12,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,2.60E-09,PF08392,FAE1_CUT1_RppA  FAE1/Type III polyketide synthase-like protein,0.099,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963263.1,,fwd,388657,389562,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,0.00015,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,0.0004,PF08392,FAE1_CUT1_RppA  FAE1/Type III polyketide synthase-like protein,0.052,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963264.1,,fwd,389559,391229,PF00501,AMP-binding  AMP-binding enzyme,5.80E-59,,,,,,,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084491477.1,,fwd,391247,391516,NO PFAM MATCH,,,,,,,,,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963265.1,D,fwd,391513,392553,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,9.60E-38,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,3.10E-27,PF13460,NAD_binding_10  NAD(P)H-binding,7.60E-22,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963266.1,,fwd,392574,393767,NO PFAM MATCH,,,,,,,,,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063917402.1,MMPL,fwd,393764,395908,PF03176,MMPL  MMPL family,1.50E-68,,,,,,,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963267.1,,fwd,395905,396306,PF03061,4HBT  Thioesterase superfamily,2.60E-16,PF13622,4HBT_3  Thioesterase-like superfamily,0.00083,PF14539,DUF4442  Domain of unknown function (DUF4442),0.0017,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963268.1,,rev,396322,397251,PF00107,ADH_zinc_N  Zinc-binding dehydrogenase,1.80E-15,PF13602,ADH_zinc_N_2  Zinc-binding dehydrogenase,1.20E-07,PF08240,ADH_N  Alcohol dehydrogenase GroES-like domain,0.00033,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963269.1,,fwd,397425,398048,PF00440,TetR_N  Bacterial regulatory proteins  tetR family,2.80E-15,PF00356,LacI  Bacterial regulatory proteins  lacI family,0.063,PF13022,HTH_Tnp_1_2  Helix-turn-helix of insertion element transposase,0.1,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963270.1,,rev,398067,398930,PF00296,Bac_luciferase  Luciferase-like monooxygenase,3.10E-48,,,,,,,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062963271.1,,rev,399086,399520,PF01850,PIN  PIN domain,4.90E-10,PF13470,PIN_3  PIN domain,0.19,,,,,,,
WP_062963264.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084491416.1,,rev,399517,399756,PF01402,RHH_1  Ribbon-helix-helix protein  copG family,2.30E-09,PF12651,RHH_3  Ribbon-helix-helix domain,1.50E-08,PF11367,DUF3168  Protein of unknown function (DUF3168),0.002,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067447452.1,,fwd,437940,438599,PF09335,SNARE_assoc  SNARE associated Golgi protein,1.60E-23,,,,,,,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445940.1,,fwd,438650,439591,PF04616,Glyco_hydro_43  Glycosyl hydrolases family 43,5.20E-05,PF00251,Glyco_hydro_32N  Glycosyl hydrolases family 32 N-terminal domain,0.019,,,,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445941.1,,fwd,439867,441294,PF00668,Condensation  Condensation domain,6.70E-12,,,,,,,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445942.1,,fwd,441297,442553,PF03033,Glyco_transf_28  Glycosyltransferase family 28 N-terminal domain,4.10E-06,PF04101,Glyco_tran_28_C  Glycosyltransferase family 28 C-terminal domain,0.0013,PF00201,UDPGT  UDP-glucoronosyl and UDP-glucosyl transferase,0.024,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445944.1,,fwd,442550,443512,PF00005,ABC_tran  ABC transporter,4.50E-26,PF13304,AAA_21  AAA domain  putative AbiEii toxin  Type IV TA system,2.00E-12,PF13732,DUF4162  Domain of unknown function (DUF4162),5.10E-06,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445945.1,,fwd,443542,444366,PF01061,ABC2_membrane  ABC-2 type transporter,1.40E-26,PF12698,ABC2_membrane_3  ABC-2 family transporter protein,1.10E-10,,,,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445946.1,,fwd,444377,445777,NO PFAM MATCH,,,,,,,,,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084472333.1,,rev,445797,446420,PF05610,DUF779  Protein of unknown function (DUF779),4.00E-10,,,,,,,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445948.1,,fwd,446765,447814,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,3.40E-09,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,3.00E-08,,,,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445950.1,,fwd,447824,448723,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,1.80E-05,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,0.00033,,,,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445953.1,,fwd,448720,450378,PF00501,AMP-binding  AMP-binding enzyme,3.60E-65,,,,,,,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445958.1,D,fwd,450375,451418,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,1.40E-38,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,3.50E-28,PF13460,NAD_binding_10  NAD(P)H-binding,2.70E-20,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445959.1,,fwd,451479,452681,NO PFAM MATCH,,,,,,,,,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445960.1,,fwd,452717,452896,NO PFAM MATCH,,,,,,,,,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445961.1,,rev,453280,454752,PF00291,PALP  Pyridoxal-phosphate dependent enzyme,2.90E-67,PF00107,ADH_zinc_N  Zinc-binding dehydrogenase,5.00E-05,PF00571,CBS  CBS domain,0.058,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445962.1,,fwd,454964,455704,PF09339,HTH_IclR  IclR helix-turn-helix domain,2.60E-17,PF01614,IclR  Bacterial transcriptional regulator,2.90E-09,PF12802,MarR_2  MarR family,0.0016,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445964.1,,fwd,456032,457114,PF09084,NMT1  NMT1/THI5 like,1.60E-22,PF13379,NMT1_2  NMT1-like family,6.20E-15,PF12974,Phosphonate-bd  ABC transporter  phosphonate  periplasmic substrate-binding protein,9.80E-07,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445966.1,,fwd,457111,457974,PF00005,ABC_tran  ABC transporter,7.70E-30,PF13304,AAA_21  AAA domain  putative AbiEii toxin  Type IV TA system,4.70E-09,PF13555,AAA_29  P-loop containing region of AAA domain,1.30E-05,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445968.1,,fwd,457967,458860,PF00528,BPD_transp_1  Binding-protein-dependent transport system inner membrane component,1.10E-23,,,,,,,,,,
WP_067445953.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067445970.1,,fwd,458868,460214,PF00296,Bac_luciferase  Luciferase-like monooxygenase,5.30E-62,,,,,,,,,,
