query,genus_species,nucleotide_acc,protein_acc,start,end,dir,pfam_id1,description,e_value1,pfam_id2,description_1,e_value2,pfam_id3,description_2,e_value3,x17,x18,x19,x20,x21,x22
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067899035.1,36734,37202,+,PF09349,OHCU decarboxylase,2.9e-35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_067812431.1,57995,58256,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_067812432.1,59119,58252,-,PF00248,Aldo/keto reductase family,3.9e-44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_067812433.1,59730,59181,-,PF07978,NIPSNAP,3.2e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_067812434.1,60512,59810,-,PF05719,Golgi phosphoprotein 3 (GPP34),4.2e-44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_067812435.1,61489,60556,-,PF01370,NAD dependent epimerase/dehydratase family,7.6e-26,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,1.3e-17,PF04321,RmlD substrate binding domain,4.4e-16,NA,NA,NA,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_067812436.1,62997,61485,-,PF00501,AMP-binding enzyme,3.5e-52,PF13193,AMP-binding enzyme C-terminal domain,2e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_067812437.1,64151,62993,-,PF00067,Cytochrome P450,9.1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_067812438.1,65031,64278,-,PF00535,Glycosyl transferase family 2,1.5e-22,PF13641,Glycosyltransferase like family 2,1.6e-14,PF10111,Glycosyltransferase like family 2,4.7e-6,PF13704,Glycosyl transferase family 2,8.1e-4,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_067812439.1,66047,65045,-,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,3.7e-20,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,3.2e-17,PF00108,"Thiolase, N-terminal domain",2.1e-9,PF00195,"Chalcone and stilbene synthases, N-terminal domain",8.2e-6,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_083998877.1,66871,67483,+,PF00067,Cytochrome P450,1.6e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_067812440.1,67905,67452,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_067812441.1,68261,69518,+,PF00067,Cytochrome P450,2.3e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_067812442.1,69601,70765,+,PF00108,"Thiolase, N-terminal domain",4.4e-58,PF02803,"Thiolase, C-terminal domain",8.3e-40,PF00109,"Beta-ketoacyl synthase, N-terminal domain",1.9e-4,NA,NA,NA,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_067812443.1,70761,71754,+,PF00753,Metallo-beta-lactamase superfamily,2.5e-24,PF12706,Beta-lactamase superfamily domain,5.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_083998879.1,71812,72847,+,PF00106,short chain dehydrogenase,4.9e-42,PF13561,Enoyl-(Acyl carrier protein) reductase,2e-41,PF08659,KR domain,9.1e-15,NA,NA,NA,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_067812444.1,72922,74152,+,PF00067,Cytochrome P450,7.7e-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067812439.1,Actinomadura kijaniata NBRC 14229,NZ_BCQR01000010.1,WP_083998883.1,74437,75679,+,PF00534,Glycosyl transferases group 1,1.8e-27,PF13692,Glycosyl transferases group 1,4.9e-26,PF13439,Glycosyltransferase Family 4,5.2e-23,PF13579,Glycosyl transferase 4-like domain,2.2e-18,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_014688948.1,2108522,2108168,-,PF13630,SdpI/YhfL protein family,2.7e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_014688949.1,2109692,2108765,-,PF04138,GtrA-like protein,7.5e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_014688950.1,2110713,2110092,-,PF16859,Bacterial transcriptional repressor C-terminal,2.9e-25,PF00440,"Bacterial regulatory proteins, tetR family",2.5e-12,PF02796,Helix-turn-helix domain of resolvase,1.9e-5,NA,NA,NA,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_014688951.1,2112062,2111060,-,PF01370,NAD dependent epimerase/dehydratase family,1.9e-23,PF04321,RmlD substrate binding domain,1e-13,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,2.5e-11,PF16363,"GDP-mannose 4,6 dehydratase",1.8e-7,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_014688952.1,2113348,2112058,-,PF00067,Cytochrome P450,1.9e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_014688953.1,2114097,2113344,-,PF00535,Glycosyl transferase family 2,4.8e-23,PF13641,Glycosyltransferase like family 2,8.8e-17,PF13632,Glycosyl transferase family group 2,1.4e-5,PF10111,Glycosyltransferase like family 2,3.1e-5,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_014688954.1,2115515,2114093,-,PF00501,AMP-binding enzyme,6.6e-37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_052311540.1,2116271,2115521,-,PF00535,Glycosyl transferase family 2,9.7e-22,PF13641,Glycosyltransferase like family 2,3.2e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_014688956.1,2117251,2116255,-,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,5.5e-17,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,6e-15,PF00108,"Thiolase, N-terminal domain",1.5e-6,NA,NA,NA,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_052311541.1,2118607,2117266,-,PF00069,Protein kinase domain,1.4e-37,PF07714,Protein tyrosine kinase,1.9e-21,PF01636,Phosphotransferase enzyme family,1.5e-4,NA,NA,NA,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_014688958.1,2119029,2119590,+,PF00440,"Bacterial regulatory proteins, tetR family",2e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_014688959.1,2120579,2119586,-,PF10042,Uncharacterized conserved protein (DUF2278),2.1e-67,PF00932,Lamin Tail Domain,2e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_014688960.1,2120787,2121423,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_014688961.1,2122338,2121444,-,PF01370,NAD dependent epimerase/dehydratase family,1.4e-12,PF13460,NAD(P)H-binding,2e-8,PF00106,short chain dehydrogenase,1.8e-5,PF16363,"GDP-mannose 4,6 dehydratase",2.2e-5,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_043511093.1,2122424,2122988,+,PF00440,"Bacterial regulatory proteins, tetR family",8.8e-16,PF13022,Helix-turn-helix of insertion element transposase,6.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014688956.1,Actinoplanes sp. SE50,NZ_CP023298.1,WP_043511096.1,2124210,2122974,-,PF02040,Arsenical pump membrane protein,1.2e-19,PF03600,Citrate transporter,5.9e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_051041877.1,1867135,1868593,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_014441842.1,1868723,1869293,+,PF00440,"Bacterial regulatory proteins, tetR family",8.5e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_014441844.1,1870141,1871308,+,PF01546,Peptidase family M20/M25/M40,3.6e-8,PF07687,Peptidase dimerisation domain,3e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_014441845.1,1872398,1871492,-,PF01370,NAD dependent epimerase/dehydratase family,6e-22,PF04321,RmlD substrate binding domain,1.1e-12,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,6.2e-12,NA,NA,NA,NA,NA,NA
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_014441846.1,1873579,1872394,-,PF00067,Cytochrome P450,1.1e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_014441847.1,1874409,1873575,-,PF00535,Glycosyl transferase family 2,9e-20,PF13641,Glycosyltransferase like family 2,3.8e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_014441848.1,1875941,1874405,-,PF00501,AMP-binding enzyme,3e-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_014441849.1,1876672,1875937,-,PF00535,Glycosyl transferase family 2,2.2e-25,PF13641,Glycosyltransferase like family 2,9.4e-16,PF10111,Glycosyltransferase like family 2,6.3e-4,NA,NA,NA,NA,NA,NA
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_014441850.1,1877649,1876668,-,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,7.4e-16,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,4.5e-14,PF00108,"Thiolase, N-terminal domain",4.5e-7,NA,NA,NA,NA,NA,NA
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_014441851.1,1877782,1879516,+,PF02518,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",2.6e-19,PF00989,PAS fold,1.2e-16,PF00072,Response regulator receiver domain,2e-16,PF08448,PAS fold,4.1e-13,PF13426,PAS domain,5e-13
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_051041879.1,1881180,1879479,-,PF00069,Protein kinase domain,1.9e-36,PF07714,Protein tyrosine kinase,1.9e-24,PF14531,Kinase-like,4.5e-4,PF01636,Phosphotransferase enzyme family,4.5e-4,NA,NA,NA
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_014441853.1,1881401,1882667,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_014441854.1,1882740,1883295,+,PF04203,Sortase family,1.8e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_014441855.1,1883566,1884580,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_083888595.1,1887520,1884538,-,PF00989,PAS fold,1.6e-47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_014441850.1,Actinoplanes missouriensis 431,NC_017093.1,WP_014441857.1,1888051,1887547,-,PF00440,"Bacterial regulatory proteins, tetR family",9.5e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990369.1,32973,32724,-,PF02467,Transcription factor WhiB,1.1e-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990376.1,33222,33606,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990378.1,33612,34449,+,PF12697,Alpha/beta hydrolase family,8.7e-18,PF00561,alpha/beta hydrolase fold,1.2e-15,PF12146,"Serine aminopeptidase, S33",1e-8,PF00975,Thioesterase domain,5.8e-6,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990381.1,34923,34452,-,PF00578,AhpC/TSA family,6.4e-34,PF08534,Redoxin,1.6e-22,PF05988,Bacterial protein of unknown function (DUF899),1.2e-5,NA,NA,NA,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990384.1,35158,36247,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990387.1,36519,36225,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990390.1,37761,36534,-,PF00155,Aminotransferase class I and II,6.1e-53,PF01041,DegT/DnrJ/EryC1/StrS aminotransferase family,1e-5,PF00266,Aminotransferase class-V,3.9e-4,NA,NA,NA,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990393.1,38920,37765,-,PF00294,pfkB family carbohydrate kinase,3.7e-35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990508.1,38994,39915,+,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,2.1e-18,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,1e-14,PF00195,"Chalcone and stilbene synthases, N-terminal domain",9.9e-7,NA,NA,NA,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990397.1,39911,40694,+,PF00535,Glycosyl transferase family 2,2.1e-19,PF13641,Glycosyltransferase like family 2,1.4e-12,PF10111,Glycosyltransferase like family 2,1.8e-5,NA,NA,NA,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990400.1,40690,41857,+,PF00067,Cytochrome P450,2.4e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990510.1,41915,43430,+,PF00501,AMP-binding enzyme,7.9e-41,PF13193,AMP-binding enzyme C-terminal domain,1.4e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990403.1,43426,44347,+,PF01370,NAD dependent epimerase/dehydratase family,5.2e-25,PF04321,RmlD substrate binding domain,3.6e-14,PF07993,Male sterility protein,1.3e-10,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,2e-10,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990406.1,44892,44316,-,PF00857,Isochorismatase family,1.9e-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990409.1,46361,44888,-,PF02133,"Permease for cytosine/purines, uracil, thiamine, allantoin",7.2e-42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990512.1,47173,46378,-,PF01261,Xylose isomerase-like TIM barrel,1.1e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086990508.1,Agrococcus casei LMG 22410,NZ_FUHU01000004.1,WP_086990412.1,47274,48969,+,PF00920,Dehydratase family,3.8e-212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086842513.1,Amycolatopsis kentuckyensis,NZ_MUMI01000142.1,WP_086842505.1,533,1925,+,PF00331,Glycosyl hydrolase family 10,2.7e-104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086842513.1,Amycolatopsis kentuckyensis,NZ_MUMI01000142.1,WP_086842507.1,3119,1958,-,PF13556,PucR C-terminal helix-turn-helix domain,9.5e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086842513.1,Amycolatopsis kentuckyensis,NZ_MUMI01000142.1,WP_086842509.1,3314,3572,+,PF00550,Phosphopantetheine attachment site,2.9e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086842513.1,Amycolatopsis kentuckyensis,NZ_MUMI01000142.1,WP_086842511.1,3568,4816,+,PF00109,"Beta-ketoacyl synthase, N-terminal domain",2.1e-54,PF02801,"Beta-ketoacyl synthase, C-terminal domain",1.4e-31,PF00108,"Thiolase, N-terminal domain",2.7e-7,NA,NA,NA,NA,NA,NA
WP_086842513.1,Amycolatopsis kentuckyensis,NZ_MUMI01000142.1,WP_086842513.1,4829,5840,+,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,3.4e-19,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,4e-19,PF00108,"Thiolase, N-terminal domain",7.4e-6,PF07451,Stage V sporulation protein AD (SpoVAD),1e-4,NA,NA,NA
WP_086842513.1,Amycolatopsis kentuckyensis,NZ_MUMI01000142.1,WP_086842515.1,5836,6592,+,PF00535,Glycosyl transferase family 2,1.4e-20,PF13641,Glycosyltransferase like family 2,3.7e-17,PF10111,Glycosyltransferase like family 2,1.4e-6,NA,NA,NA,NA,NA,NA
WP_086842513.1,Amycolatopsis kentuckyensis,NZ_MUMI01000142.1,WP_086842517.1,6588,7770,+,PF00067,Cytochrome P450,1e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086842513.1,Amycolatopsis kentuckyensis,NZ_MUMI01000142.1,WP_086842519.1,7766,9305,+,PF00501,AMP-binding enzyme,5.2e-55,PF13193,AMP-binding enzyme C-terminal domain,8.3e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086842513.1,Amycolatopsis kentuckyensis,NZ_MUMI01000142.1,WP_086842521.1,9301,10198,+,PF01370,NAD dependent epimerase/dehydratase family,2e-27,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,1.1e-16,PF04321,RmlD substrate binding domain,1.6e-13,PF07993,Male sterility protein,5.6e-13,NA,NA,NA
WP_086842513.1,Amycolatopsis kentuckyensis,NZ_MUMI01000142.1,WP_086842523.1,12287,10295,-,PF00534,Glycosyl transferases group 1,5.3e-37,PF13692,Glycosyl transferases group 1,4.4e-32,PF13439,Glycosyltransferase Family 4,3.3e-29,NA,NA,NA,NA,NA,NA
WP_086842513.1,Amycolatopsis kentuckyensis,NZ_MUMI01000142.1,WP_086842525.1,12988,12280,-,PF06197,Protein of unknown function (DUF998),8.9e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_086842513.1,Amycolatopsis kentuckyensis,NZ_MUMI01000142.1,WP_086842540.1,14477,13019,-,PF02518,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",1.8e-24,PF00672,HAMP domain,2.4e-16,PF00512,His Kinase A (phospho-acceptor) domain,3.3e-9,NA,NA,NA,NA,NA,NA
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_079941134.1,133889,134726,+,PF00528,Binding-protein-dependent transport system inner membrane component,2.3e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_079941123.1,134722,135667,+,PF00528,Binding-protein-dependent transport system inner membrane component,4.5e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_071416226.1,135720,137067,+,PF13416,Bacterial extracellular solute-binding protein,2.7e-41,PF01547,Bacterial extracellular solute-binding protein,8.3e-35,PF13343,Bacterial extracellular solute-binding protein,7e-6,NA,NA,NA,NA,NA,NA
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_069695777.1,137997,137169,-,PF00557,Metallopeptidase family M24,1.6e-46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_079941124.1,138940,138028,-,PF01370,NAD dependent epimerase/dehydratase family,1.6e-22,PF04321,RmlD substrate binding domain,2.5e-11,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,6.9e-10,PF16363,"GDP-mannose 4,6 dehydratase",7.2e-9,NA,NA,NA
